NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MIN,MAX,MED,AMEAN,GMEAN,STD,GSTATS_N,GSTATS_MIN,GSTATS_MAX,GSTATS_MED,GSTATS_AMEAN,GSTATS_GMEAN,GSTATS_STD,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,2,1516,1516,0.075010017,0.873766541,0.156088322,0.181655897,0.168779173,0.081677286,1516,0.074656375,0.871735036,0.150789544,0.17189696,0.161135893,0.072595366,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,3,772,772,0.066661537,0.366381645,0.102838241,0.105884918,0.103867274,0.023760053,772,0.062942259,0.260706693,0.099457949,0.101957223,0.100338159,0.019505737,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,0,673,418,0.027410043,19.34131241,0.358908832,1.847737364,0.458679338,2.866866516,418,0.027046593,19.34131241,0.326960444,1.729537068,0.428972779,2.721811468,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,1,684,678,0.165283903,3.188969851,0.556107581,0.692384875,0.553969521,0.496510285,678,0.160480931,2.97655654,0.503712296,0.637048438,0.510497108,0.465853562,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,7,566,509,0.070127368,2.147231817,0.345939457,0.467081976,0.360026618,0.342392966,509,0.070073523,2.147231817,0.322851509,0.452210303,0.343216482,0.342974374,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,6,947,947,0.058844354,0.594319761,0.110811941,0.131200368,0.120744787,0.065229726,947,0.058789756,0.497600168,0.10873495,0.127074674,0.117720965,0.059281874,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,4,210,183,0.095610976,15.36207581,0.503204703,1.123937644,0.590706832,2.405112468,183,0.095610976,15.36207581,0.440483868,1.031022453,0.531679375,2.384074584,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,5,562,562,0.078110017,1.750212431,0.121947438,0.169248399,0.149833996,0.109549682,562,0.074735925,0.809620202,0.118724428,0.16017076,0.144202028,0.079306856,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,26,865,865,0.070169583,0.269709796,0.110621683,0.118547933,0.113475427,0.036338628,865,0.069980912,0.21490337,0.108052872,0.115141202,0.110706467,0.032893873,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,27,1356,1356,0.037104499,0.200806588,0.070370547,0.070819742,0.067985792,0.021321524,1356,0.035503447,0.18466343,0.069049843,0.069105979,0.066518154,0.019919326,,
